rating_10,adj._gross_(eur),age_stats,homegrown_low_paid_flag,transfer_status,proxy_market_value,market_value_lag
3.6,397280.0,22.0,1,0,67149.05,0.0
4.4,832993.0,29.0,1,1,134579.55,93375.03
4.1,908977.0,27.0,1,0,141328.56,0.0
6.4,897755.0,29.0,1,0,50292.3,0.0
8.4,930000.0,24.0,1,2,60511.38,6785.78
4.8,44142.0,19.0,1,0,11414.12,0.0
0.4,1830000.0,26.0,0,2,41707.94,14639.87
4.5,1954011.0,31.0,0,0,302833.66,308490.4
7.8,7800000.0,27.0,0,0,2522344.9,1685619.09
4.5,2220000.0,29.0,0,0,386525.52,372650.33
5.7,2820000.0,24.0,0,2,748067.23,293077.32
2.3,3600000.0,28.0,0,0,55790.7,76607.07
0.8,1820000.0,26.0,0,1,15320.7,59913.35
3.6,2200000.0,22.0,0,0,67868.41,0.0
8.2,2460000.0,27.0,0,2,831661.95,847411.94
4.1,2000000.0,23.0,0,0,100113.6,151747.99
0.4,1245702.0,22.0,1,1,32205.25,32205.25
1.0,365711.0,20.0,1,0,20427.18,0.0
4.0,580000.0,22.0,1,0,19970.73,0.0
5.9,1480000.0,25.0,0,2,65498.96,49902.35
4.8,113228.0,23.0,1,0,23395.2,0.0
7.2,4449750.0,24.0,0,0,360156.59,312508.98
4.4,4680000.0,23.0,0,0,1021121.26,2261704.0
7.2,3284339.0,27.0,0,0,925241.68,1257547.18
4.5,280000.0,22.0,1,0,65524.5,0.0
1.0,3210000.0,30.0,0,0,21400.08,26283.25
3.2,165533.0,18.0,1,0,4991.49,0.0
0.4,1062847.0,27.0,1,0,19863.39,0.0
0.9,588784.0,22.0,1,0,6084.11,0.0
3.9,2400000.0,31.0,0,2,344087.23,473719.29
2.7,1358732.0,25.0,1,0,36419.56,0.0
3.6,750000.0,32.0,1,0,15937.48,9516.57
1.4,33107.0,18.0,1,0,448.92,0.0
2.1,3908021.0,25.0,0,1,60114.13,41249.06
0.1,4490000.0,28.0,0,0,3820.91,332298.83
7.9,794598.0,25.0,1,0,263936.95,290451.55
5.2,1839982.0,28.0,0,0,340115.8,0.0
3.7,662133.0,27.0,1,0,15333.3,0.0
0.8,1840000.0,20.0,0,2,14251.75,16421.05
2.6,1820000.0,26.0,0,1,51435.33,15320.7
5.4,9995915.0,20.0,0,0,472074.03,543917.98
0.7,339029.0,19.0,1,0,15201.68,0.0
